task,model_name,model_modality_list,avg_test_r2,std_test_r2,avg_test_mae,std_test_mae,avg_test_rmse,std_test_rmse,attention_weights
down,UniEncoderAttention,"['smiles', 'fp']",-0.00086,0.0,2.315,0.0,2.323,0.0,[[0.39467937 0.60532063]]
lipo,UniEncoderAttention,"['smiles', 'fp', 'text', 'graph']",0.6372,0.0,0.5484,0.0,0.7287,0.0,"[[0.08095453 0.8543226  0.00304092 0.06168191]
 [0.03064525 0.10733242 0.00577127 0.85625106]
 [0.08023414 0.5058289  0.16101961 0.25291738]
 [0.11665016 0.63982165 0.02059106 0.22293714]
 [0.02928503 0.41184428 0.06864407 0.4902267 ]
 [0.06632908 0.67372304 0.17214964 0.08779816]
 [0.03849375 0.9227398  0.00532541 0.03344106]
 [0.28402638 0.31886503 0.01943659 0.37767196]
 [0.04075708 0.6688328  0.0058605  0.28454965]
 [0.18852279 0.27310738 0.01572577 0.5226441 ]
 [0.02774877 0.59476703 0.01005952 0.36742467]
 [0.40649128 0.24267574 0.00673073 0.34410226]
 [0.20756094 0.54620427 0.01022545 0.23600936]
 [0.19981323 0.32681373 0.03979006 0.4335829 ]
 [0.00643642 0.58837086 0.00478386 0.4004089 ]
 [0.71922445 0.12350941 0.03106537 0.1262008 ]]"
lipo,UniEncoderAttention,"['smiles', 'fp', 'text', 'graph']",0.649,0.0,0.5369,0.0,0.7167,0.0,"[[0.16345896 0.77519083 0.0018354  0.05951474]
 [0.02413946 0.09295373 0.00187399 0.88103276]
 [0.10731307 0.491203   0.15929137 0.24219252]
 [0.18150519 0.3239987  0.02101609 0.4734801 ]
 [0.02999214 0.501479   0.03399757 0.4345313 ]
 [0.08822209 0.5468775  0.26648274 0.09841762]
 [0.07335243 0.8774274  0.0039387  0.04528142]
 [0.22204557 0.27517158 0.03418046 0.46860233]
 [0.05803381 0.3087963  0.00657584 0.62659407]
 [0.17601411 0.23664685 0.02167473 0.5656643 ]
 [0.04509136 0.47958285 0.01843719 0.45688856]
 [0.6273134  0.18395841 0.00395947 0.1847688 ]
 [0.30656147 0.2137297  0.0285573  0.45115155]
 [0.09240655 0.09529083 0.04024718 0.77205545]
 [0.01101536 0.64297754 0.00772195 0.3382852 ]
 [0.86375844 0.07488094 0.01352749 0.0478331 ]]"
